"data","regiosanitariacodi","regiosanitariadescripcio","edatrang","sexecodi","sexedescripcio","resultatcoviddescripcio","numcasos"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","80-89","1","Dona","Sospitós","8"
"2020-06-22T00:00:00.000","6300","Terres de l'Ebre","10-19","0","Home","Sospitós","3"
"2020-06-22T00:00:00.000","6700","Catalunya Central","0-9","0","Home","Sospitós","2"
"2020-06-22T00:00:00.000","7801","Metropolità Sud","30-39","0","Home","Positiu PCR","1"
"2020-06-22T00:00:00.000","6700","Catalunya Central","30-39","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","6300","Terres de l'Ebre","40-49","1","Dona","Sospitós","6"
"2020-06-22T00:00:00.000","7801","Metropolità Sud","20-29","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","80-89","0","Home","Sospitós","7"
"2020-06-22T00:00:00.000","6100","Lleida","30-39","1","Dona","Sospitós","1"
"2020-06-22T00:00:00.000","7803","Barcelona Ciutat","30-39","0","Home","Sospitós","5"
"2020-06-22T00:00:00.000","6200","Camp de Tarragona","60-69","1","Dona","Sospitós","1"
"2020-06-22T00:00:00.000","6200","Camp de Tarragona","70-79","1","Dona","Sospitós","1"
"2020-06-22T00:00:00.000","6700","Catalunya Central","40-49","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","6700","Catalunya Central","30-39","0","Home","Sospitós","4"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","50-59","0","Home","Sospitós","9"
"2020-06-22T00:00:00.000","6400","Girona","50-59","0","Home","Positiu per Test Ràpid","1"
"2020-06-22T00:00:00.000","7803","Barcelona Ciutat","30-39","1","Dona","Sospitós","8"
"2020-06-22T00:00:00.000","7803","Barcelona Ciutat","90+","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","6100","Lleida","40-49","0","Home","Sospitós","1"
"2020-06-22T00:00:00.000","7801","Metropolità Sud","30-39","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","40-49","1","Dona","Sospitós","11"
"2020-06-22T00:00:00.000","6400","Girona","10-19","0","Home","Sospitós","4"
"2020-06-22T00:00:00.000","6100","Lleida","70-79","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","0-9","0","Home","Sospitós","3"
"2020-06-22T00:00:00.000","6300","Terres de l'Ebre","90+","0","Home","Sospitós","2"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","60-69","1","Dona","Sospitós","6"
"2020-06-22T00:00:00.000","6100","Lleida","10-19","0","Home","Positiu per Test Ràpid","1"
"2020-06-22T00:00:00.000","7801","Metropolità Sud","20-29","1","Dona","Positiu PCR","1"
"2020-06-22T00:00:00.000","7803","Barcelona Ciutat","50-59","0","Home","Sospitós","8"
"2020-06-22T00:00:00.000","6400","Girona","10-19","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","7801","Metropolità Sud","50-59","0","Home","Sospitós","3"
